,precision,recall,f1-score,support
Angry,0.3392857142857143,0.59375,0.4318181818181818,32.0
Calm,0.6,0.65625,0.6268656716417911,32.0
Disgust,0.42105263157894735,0.5,0.45714285714285713,32.0
Fearful,0.5217391304347826,0.375,0.43636363636363634,32.0
Happy,0.4090909090909091,0.28125,0.3333333333333333,32.0
Neutral,0.2857142857142857,0.125,0.17391304347826086,16.0
Sad,0.2608695652173913,0.1875,0.21818181818181817,32.0
Surprised,0.6388888888888888,0.71875,0.6764705882352942,32.0
accuracy,0.45,0.45,0.45,0.45
macro avg,0.43458014065136485,0.4296875,0.4192611412743966,240.0
weighted avg,0.4445045309805035,0.45,0.43561768112747234,240.0
